S.NO,SECTION,DV,M-II,PP,BEEE,FL,FIMS
1,ALPHA,12,0,17,9,19,15
2,ALPHA,19,12,16,16,18,3
3,ALPHA,18,14,18,18,18,16
4,ALPHA,15,9,19,17,19,15
5,ALPHA,18,17,19,19,20,18
6,ALPHA,17,16,18,10,15,9
7,ALPHA,15,10,20,20,15,14
8,ALPHA,17,17,19,20,19,13
9,ALPHA,10,18,A,20,19,15
10,ALPHA,18,19,20,20,20,15
11,ALPHA,17,18,20,18,20,18
12,ALPHA,20,20,20,20,19,16
13,ALPHA,16,18,11,15,19,15
14,ALPHA,17,17,18,11,15,9
15,ALPHA,19,20,20,20,18,12
16,ALPHA,13,18,17,19,16,9
17,ALPHA,15,17,18,17,17,13
18,ALPHA,11,8,18,15,19,15
19,ALPHA,14,12,16,16,20,14
20,ALPHA,19,17,20,20,20,18
21,ALPHA,4,2,5,3,16,9
22,ALPHA,14,10,19,17,19,17
23,ALPHA,17,17,20,20,18,13
24,ALPHA,20,20,20,20,20,18
25,ALPHA,15,14,19,4,18,14
26,ALPHA,6,10,10,11,13,10
27,ALPHA,17,19,20,20,20,18
28,ALPHA,5,4,3,12,13,5
29,ALPHA,19,19,20,19,20,15
30,ALPHA,8,2,11,10,13,12
31,ALPHA,11,12,11,3,13,6
32,ALPHA,12,2,17,11,18,15
33,ALPHA,17,14,20,17,18,16
34,ALPHA,14,10,17,12,13,12
35,ALPHA,17,16,19,17,19,15
36,ALPHA,8,13,13,12,14,7
37,ALPHA,11,9,8,17,14,12
38,ALPHA,15,12,10,19,10,6
39,ALPHA,19,18,20,19,20,18
40,ALPHA,20,17,20,19,20,18
41,ALPHA,18,9,20,19,20,18
42,ALPHA,16,19,17,20,20,9
43,ALPHA,16,19,19,15,20,17
44,ALPHA,11,14,18,12,18,10
45,ALPHA,18,13,19,16,15,13
46,ALPHA,11,15,20,18,13,15
47,ALPHA,14,20,19,20,20,15
48,ALPHA,16,15,19,19,20,14
49,ALPHA,16,10,20,19,13,14
50,ALPHA,15,16,8,11,10,13
51,ALPHA,1,16,15,13,10,11
52,ALPHA,6,12,10,11,10,3
53,ALPHA,17,17,19,12,15,15
54,ALPHA,8,13,9,11,10,10
55,ALPHA,14,10,19,17,15,13
56,ALPHA,15,18,20,18,15,15
57,ALPHA,10,17,12,17,10,9
58,ALPHA,2,2,4,10,10,3
59,ALPHA,10,17,11,19,15,10
60,ALPHA,19,15,20,18,20,16
61,ALPHA,19,17,20,15,20,17
62,ALPHA,8,8,15,9,10,9
63,ALPHA,12,10,18,15,10,4
64,ALPHA,11,20,20,19,13,13
65,ALPHA,12,17,20,17,13,9
66,ALPHA,9,13,8,15,10,11
67,ALPHA,12,16,20,20,15,17
68,ALPHA,12,6,13,20,15,9
69,ALPHA,16,20,20,20,20,16
70,ALPHA,20,20,20,19,20,18
71,ALPHA,4,2,16,10,15,9
72,ALPHA,17,20,20,20,15,18
73,ALPHA,7,0,15,10,18,11
74,ALPHA,10,13,12,19,15,12
75,ALPHA,17,20,20,20,20,17
76,ALPHA,5,8,7,15,10,2
77,ALPHA,17,20,19,20,18,15
78,ALPHA,13,20,19,15,15,10
79,ALPHA,19,17,20,20,13,15
80,ALPHA,19,20,20,19,20,17
81,ALPHA,19,17,20,20,20,18
82,ALPHA,18,15,20,20,20,18
83,ALPHA,2,0,2,A,A,A
84,ALPHA,10,15,4,8,15,9
85,ALPHA,12,14,20,19,20,18
86,ALPHA,3,4,14,13,18,13
87,ALPHA,17,18,19,20,20,18
88,ALPHA,13,17,14,19,15,17
89,ALPHA,2,17,0,3,15,2
90,ALPHA,10,6,15,10,15,10
91,BETA,17,19,20,17,20,18
92,BETA,14,9,10,11,13,14
93,BETA,11,14,18,14,20,14
94,BETA,14,5,17,3,10,13
95,BETA,12,13,20,9,20,16
96,BETA,16,12,12,13,18,11
97,BETA,8,17,3,12,18,9
98,BETA,8,16,14,17,13,13
99,BETA,6,7,16,9,13,13
100,BETA,9,11,9,10,13,12
101,BETA,10,10,10,4,15,12
102,BETA,13,12,18,4,18,11
103,BETA,10,12,17,9,,16
104,BETA,11,18,20,15,20,18
105,BETA,17,20,19,12,20,18
106,BETA,12,11,18,11,15,17
107,BETA,9,13,17,6,18,15
108,BETA,11,5,19,9,18,9
109,BETA,10,14,5,3,15,8
110,BETA,13,12,19,4,18,14
111,BETA,8,11,14,3,18,10
112,BETA,10,17,20,4,20,13
113,BETA,16,20,18,20,20,17
114,BETA,15,17,16,10,15,13
115,BETA,11,14,16,4,18,12
116,BETA,20,20,20,20,20,17
117,BETA,13,20,14,14,18,16
118,BETA,12,19,17,10,15,9
119,BETA,9,9,15,4,15,17
120,BETA,15,14,19,13,13,12
121,BETA,10,17,14,14,20,18
122,BETA,8,11,14,6,15,9
123,BETA,10,18,15,9,15,16
124,BETA,13,7,18,11,15,17
125,BETA,16,20,16,9,20,15
126,BETA,5,16,9,7,18,14
127,BETA,11,14,12,7,15,17
128,BETA,7,4,12,4,13,11
129,BETA,11,13,16,8,19,17
130,BETA,17,12,17,17,19,18
131,BETA,16,15,20,18,20,18
132,BETA,17,18,20,12,13,16
133,BETA,20,18,20,20,20,18
134,BETA,17,20,19,20,20,18
135,BETA,16,20,20,19,20,16
136,BETA,9,8,14,11,13,14
137,BETA,16,17,20,20,20,18
138,BETA,20,20,20,20,18,18
139,BETA,10,11,15,11,18,16
140,BETA,5,0,12,4,20,15
141,BETA,11,11,17,8,13,10
142,BETA,12,14,18,15,15,13
143,BETA,16,12,17,12,15,14
144,BETA,15,5,16,19,10,15
145,BETA,20,0,17,13,10,9
146,BETA,10,10,15,11,10,7
147,BETA,12,10,14,3,13,15
148,BETA,9,5,6,8,13,4
149,BETA,16,8,20,16,20,16
150,BETA,13,16,17,7,13,11
